Area,Page,Route,Section,Accent light,Accent dark,Auth,Purpose,Key design elements / components,Primary API
Public,Contact,/contact,Marketing,#1d7dbd,#5a9be8,Public,"Contact form","form, gradient CTA","POST /public/contact"
Public,Blog,/blog,Marketing,#1d7dbd,#5a9be8,Public,"Blog listing with categories","post cards, category filter","GET /public/blog, /public/blog-categories"
Public,Blog Post,/blog/:slug,Marketing,#1d7dbd,#5a9be8,Public,"Article page","BlogPost prose, cover image, FAQ, JSON-LD schema","GET /public/blog/{slug}"
Public,Web Stories,/webstories,Marketing,#1d7dbd,#5a9be8,Public,"Web-stories listing","story cards","GET /public/webstories"
Public,Web Story Viewer,/webstories/:slug,Marketing,#1d7dbd,#5a9be8,Public,"AMP-style story viewer","WebStoryViewer slides, progress","GET /public/webstories/{slug}"
Public,Technical SEO Guide,/guides/technical-seo,Marketing,#1d7dbd,#5a9be8,Public,"Pillar guide article","PillarGuide prose, table of contents, callout cards","(static content)"
Public,Privacy / Terms / Cookies,"/privacy, /terms, /cookies",Marketing,#1d7dbd,#5a9be8,Public,"Legal pages","ContentPage prose","(static)"
Admin,Admin Login,/admin/login,Admin,#1d7dbd,#5a9be8,Public,"Platform-admin login (ADMIN_EMAILS only)","AdminLogin form","POST /auth/admin/login"
Admin,Admin Shell,/admin,Admin,#1d7dbd,#5a9be8,Admin,"Back-office shell with permission-gated tabs","AdminShell, tab sidebar","GET /admin/me, /admin/stats"
Admin,Users,/admin (users),Admin,#1d7dbd,#5a9be8,Admin,"User roster + per-user spend; create/edit/reset/deactivate","DataTable, create/edit modals, badges","GET/POST/PATCH/DELETE /admin/users, POST /reset-password"
Admin,Plans & Subscriptions,/admin (plans),Admin,#1d7dbd,#5a9be8,Admin,"Plans + subscriptions management","DataTable, forms","GET/POST/PATCH/DELETE /admin/plans, /admin/subscriptions"
Admin,Payments,/admin (payments),Admin,#1d7dbd,#5a9be8,Admin,"Payments, refunds, invoice download","DataTable, refund action, invoice PDF","GET /admin/payments, PATCH, POST /refund, GET /invoice"
Admin,Website Settings,/admin (settings),Admin,#1d7dbd,#5a9be8,Admin,"Public-site configuration","settings form","GET/PUT /admin/settings"
Admin,Blog Editor,/admin (blogs),Admin,#1d7dbd,#5a9be8,Admin,"Blog CMS (categories + rich-text posts)","RichEditor (CKEditor 5), image upload, DataTable","GET/POST/PATCH/DELETE /admin/blogs, /admin/blog-categories"
Admin,Web Story Editor,/admin (webstories),Admin,#1d7dbd,#5a9be8,Admin,"Web-story CMS","slide editor, DataTable","GET/POST/PATCH/DELETE /admin/webstories"
Admin,Contact,/admin (contact),Admin,#1d7dbd,#5a9be8,Admin,"Contact-form inbox: read, reply, export","DataTable, reply, export","GET /admin/contact-submissions, PATCH, POST /reply, export"
Admin,Emails,/admin (emails),Admin,#1d7dbd,#5a9be8,Admin,"Email delivery log: list, retry, export","DataTable, retry action","GET /admin/email-logs, POST /retry, export"
Admin,Usage,/admin (usage),Admin,#1d7dbd,#5a9be8,Admin,"Platform-wide usage history","DataTable, export","GET /admin/usage-history, export"
Admin,Roles,/admin (roles),Admin,#1d7dbd,#5a9be8,Admin,"Admin RBAC roles + permissions","DataTable, permission toggles","GET/POST /admin/roles, PATCH/DELETE /admin/roles/{id}"
